Province,Year,GRDP Capita,GRDP Employed,Health Complaint,Formal Sector,Unemployed Percent,HDI,Gov Spending,Gov CapEx,Poverty,Gini,Decent Sanitation,Clean Water,HS Graduation,Agriculture,Life Expectancy,GRDP Nominal,Population Thousand
ACEH,2015,22524.31,53.9905999198759,27.92,0.395,8.83,69.45,37549.69,8553.03,17.095,0.3365,54.68,61.23,68.16,37598.8491771535,69.54,129092659.01,5018.7
ACEH,2016,22835.29,56.6807733714925,25.78,0.4283,7.85,70,42180.53,9870.07,16.58,0.337,62.68,63.31,74.46,40218.3108492229,69.565,136843817.97,5096.2
ACEH,2017,23362.9,56.179525925363,24.85,0.4042,6.98,70.6,43580.96,8920.15,16.405,0.329,63.38,64.85,70.64,43363.354289614,69.585,145806922.5,5189.5
ACEH,2018,24013.79,56.608467517535,30.18,0.4056,6.44,71.19,38767.1,6320.93,15.825,0.3215,67.09,66.48,70.68,46365.3831647454,69.7,155910977.03,5281.3
ACEH,2019,24842.3,55.8976346179485,29.33,0.4288,5.825,71.9,45620.69,8743.71,15.165,0.3205,73.16,85.81,69.96,48438.8628698128,69.915,164162978.19,5371.5
ACEH,2020,25018.28,54.5672996559606,27.12,0.3812,5.995,71.99,41793.83,6395.57,15.21,0.321,77.06,87.66,70.07,51547.8755806439,69.975,166372320.74,5274.9
ACEH,2021,25357.4,56.6284803968569,25.16,0.3931,6.3,72.18,41973.49,6687.77,15.43,0.3235,77.55,88.79,74.36,55611.3191898242,70.005,184976301.57,5333.7
SUMATERA UTARA,2015,31637.41,71.4518116176398,23.04,0.3986,6.55,69.51,43420.14,8751.1,10.66,0.331,67.89,71.41,59.54,125487.512940354,68.335,571722008.76,13961.4
SUMATERA UTARA,2016,32885.09,75.220465340556,22.88,0.4002,6.165,70,49817.05,9788.06,10.31,0.3155,72.86,70.61,69.69,134915.798505532,68.385,626062907.4,14102.9
SUMATERA UTARA,2017,34183.58,77.5546095618151,23.51,0.42,6.005,70.57,54296.78,10887.11,9.75,0.325,73,70.07,67.16,146368.516046871,68.39,684634426.63,14262.1
SUMATERA UTARA,2018,35570.5,71.9958465843147,24.86,0.4343,5.58,71.18,54147.82,9626.08,9.08,0.3145,74.6,71.95,68.34,155077.171552589,68.625,741347427.64,14415.4
SUMATERA UTARA,2019,36853.59,73.2335715836058,26.28,0.45,5.48,71.74,57910.33,9604.46,8.73,0.3175,79.59,90.22,65.21,164152.753555504,68.995,799608954.24,14562.5
SUMATERA UTARA,2020,36175.16,73.1605874900367,26.12,0.4038,5.81,71.77,53948.87,7117.9,8.945,0.315,81.08,89.68,70.39,173074.950018471,69.15,811188308.84,14799.4
SUMATERA UTARA,2021,36666.2,77.905067613521,20.45,0.4067,6.17,72,55094.12,7371.71,8.75,0.3135,82.02,90.89,72.81,189491.362291091,69.28,859870945.35,14936.2
SUMATERA BARAT,2015,27080.76,60.3389206745189,28.92,0.3559,6.44,69.98,22573.56,4361.57,7.01,0.3305,45.02,66.58,58.04,44424.6799529418,68.7,179951980.32,5200.9
SUMATERA BARAT,2016,28164.93,61.0270458655804,29.38,0.382,5.45,70.73,23981.43,5187.4,7.115,0.3215,53.24,67.33,64.97,47172.9811388088,68.775,196099176.57,5259.5
SUMATERA BARAT,2017,29312.17,63.2546669713468,28.81,0.3561,5.69,71.24,25262.72,5126.25,6.81,0.315,52.77,68.83,60.8,50501.8562710522,68.82,213893468.18,5321.5
SUMATERA BARAT,2018,30470.8,61.5756867406819,29.37,0.3606,5.67,71.73,26017.45,4948.33,6.6,0.313,56.85,69.53,65.34,53385.3529720884,69.045,230367222.04,5382.1
SUMATERA BARAT,2019,31427.29,65.6511669479562,29.84,0.3787,5.38,72.39,27667.83,5232.86,6.355,0.3085,63.98,81.44,60.32,54468.270278698,69.355,245949737.17,5441.2
SUMATERA BARAT,2020,30694.42,61.654954789615,31.09,0.3372,6.065,72.38,25857.65,3519.43,6.42,0.303,68.11,83.37,67.11,54117.7590879753,69.52,241993529.11,5534.5
SUMATERA BARAT,2021,31360,67.7198156470348,24.51,0.3523,6.595,72.65,25844.84,3237.2,6.335,0.303,68.68,83.4,70.06,54873.393680841,69.635,252749645.35,5580.2
RIAU,2015,70769.78,161.84293871666,29.71,0.5136,7.275,70.84,32211.52,8551.81,8.62,0.365,51.3,74.24,57.28,144218.913425,70.975,652761630.87,6356.7
RIAU,2016,70569.36,163.770741362015,27.89,0.4637,6.685,71.2,29730.66,6285.25,7.825,0.347,71.36,75.49,62.12,156234.407169429,71,681699030.26,6501
RIAU,2017,70740.43,159.770733386909,27.28,0.473,5.99,71.79,29949.3,6133.99,7.595,0.325,70.04,75.12,61.9,165988.016894057,71.02,704705026.87,6657.9
RIAU,2018,70736.77,156.219448197997,29.61,0.4505,5.765,72.44,28817.91,4601.16,7.3,0.337,71.48,79.68,63.71,167049.7966199,71.22,752263066.25,6814.9
RIAU,2019,72509.14,160.942472523101,26.44,0.4778,5.56,73,32590.5,6202.05,6.99,0.3305,80.04,87.42,58.78,174297.877297477,71.525,760247508.9,6971.7
RIAU,2020,76882.94,157.717005817369,24.66,0.4403,5.62,72.71,30669.73,4459.02,6.93,0.325,83.99,88.25,66.62,195583.471013599,71.65,728649985.32,6394.1
RIAU,2021,77993.33,162.080003609901,22.78,0.4543,4.69,72.94,31070.01,4331.27,7.06,0.3265,83.64,89.76,68.94,226205.715970758,71.72,843211153,6493.6
JAMBI,2015,36753.52,75.9560910957489,24.45,0.4135,3.535,68.89,14555.79,3532.59,8.99,0.3525,58.21,62.75,49.05,43793.2385850048,70.605,155065655.99,3403.9
JAMBI,2016,37728.8,80.6968761551766,23.68,0.3791,4.33,69.62,15417.97,3731.4,8.39,0.3475,65.65,63.23,60.5,51441.7871128996,70.655,171199468.14,3458.9
JAMBI,2017,38833.87,79.0591019172027,20.62,0.4147,3.77,69.99,16872.74,3913.99,8.045,0.3345,64.2,65.73,58.27,56325.2815864451,70.71,189787722.25,3515
JAMBI,2018,40025.52,80.089131294461,22.41,0.4355,3.645,70.65,17331.54,3675.25,7.885,0.3345,63.99,66.66,66.06,57893.1245407566,70.845,207878694.32,3570.3
