REGION,YEAR,POVERTY INDEX (%),HUMAN DEVELOPMENT INDEX,POPULATION DENSITY (KM2),OPEN UNEMPLOYMENT RATE (%),HIGH SCHOOL EDUCATION LEVEL (%),GRDP (RP),SALARY (RP)
ACEH,2016,3.27,70,88,7.85,74.46,116374.299885169,2118500
ACEH,2017,2.95,70.6,90,6.98,70.64,121240.978717881,2500000
ACEH,2018,2.825,71.19,91,6.44,70.68,126824.365236375,2700000
ACEH,2019,2.61,71.9,93,5.825,69.96,132069.620797711,2916810
ACEH,2020,2.785,71.99,91,5.995,70.07,131580.967157536,3165031
ACEH,2021,2.905,72.18,92,6.3,74.36,135274.039295914,3165031
ACEH,2022,2.695,72.8,95,6.07,70.67,140971.715367171,3166460
BALI,2016,0.52,73.65,727,2.005,73.65,137296.445216975,1807600
BALI,2017,0.615,74.3,735,1.38,74.62,144933.312012984,1956727
BALI,2018,0.605,74.77,743,1.14,78.67,154072.662606572,2127157
BALI,2019,0.515,75.38,750,1.395,64.52,162693.357309294,2297969
BALI,2020,0.565,75.5,747,3.44,74.88,147498.943174847,2494000
BALI,2021,0.72,75.69,755,5.395,75.86,143871.677909223,2494000
BALI,2022,0.59,76.44,790,4.82,76.59,150830.405673051,2516971
BANTEN,2016,0.78,70.96,1263,8.435,60.83,387835.089449086,1784000
BANTEN,2017,0.82,71.42,1288,8.515,59.87,410136.998420504,1931180
BANTEN,2018,0.865,71.95,1313,8.095,67.54,433782.714152951,2099385
BANTEN,2019,0.78,72.44,1338,7.83,56.94,456620.034951239,2267990
BANTEN,2020,1.065,72.45,1232,9.315,64.24,441148.577284476,2460997
BANTEN,2021,1.145,72.72,1248,8.995,66.9,460952.785694304,2460996
BANTEN,2022,0.91,73.32,1310,8.31,66.02,484131.221014021,2501203
BENGKULU,2016,2.965,69.33,96,3.57,64.31,40076.5438304607,1605000
BENGKULU,2017,2.805,69.95,97,3.275,62.57,42073.5155900156,1730000
BENGKULU,2018,2.47,70.64,99,2.99,58.86,44164.1098123961,1888741
BENGKULU,2019,2.245,71.21,100,2.835,61.47,46345.4535624387,2040407
BENGKULU,2020,2.455,71.4,101,3.575,62.73,46338.4314947591,2213604
BENGKULU,2021,2.51,71.64,102,3.685,62.46,47853.7773927592,2888564
BENGKULU,2022,2.3,72.16,102,3.49,64.88,49916.0607867695,2238094
DI YOGYAKARTA,2016,2.025,78.38,1188,2.765,79.95,87685.8096148951,988500
DI YOGYAKARTA,2017,2.14,78.89,1201,2.93,85.53,92300.2438863424,1337645
DI YOGYAKARTA,2018,1.86,79.53,1214,3.185,81.96,98024.0143310568,1454154
DI YOGYAKARTA,2019,1.64,79.99,1227,3.035,84.54,104485.458763626,1570923
DI YOGYAKARTA,2020,2.01,79.97,1171,3.975,87.99,101698.520170301,1704608
DI YOGYAKARTA,2021,2.24,80.22,1185,4.42,90.12,107372.560325216,1765000
DI YOGYAKARTA,2022,1.77,80.64,1186,3.895,87.92,112901.323174183,1840951
DKI JAKARTA,2016,0.445,79.6,15478,5.945,74.74,1539916.88102685,3100000
DKI JAKARTA,2017,0.55,80.06,15624,6.25,78.25,1635359.14733743,3355750
DKI JAKARTA,2018,0.505,80.47,15764,6.19,83.48,1735208.29105656,3648036
DKI JAKARTA,2019,0.45,80.76,15900,6.02,84.35,1836240.54950707,3940973
DKI JAKARTA,2020,0.63,80.77,15907,8.05,85.67,1792291.08718913,4276350
DKI JAKARTA,2021,0.695,81.11,15978,8.505,84.98,1856000.69484497,4416186
DKI JAKARTA,2022,0.725,81.65,16158,7.59,87.71,1953488.99095463,4452724
GORONTALO,2016,3.455,66.29,102,3.32,50.79,23507.2090132167,1875000
GORONTALO,2017,3.495,67.01,104,3.965,55.3,25090.1306362623,2030000
GORONTALO,2018,3.04,67.71,105,3.54,52.39,26719.2721218608,2206813
GORONTALO,2019,2.625,68.49,107,3.505,50.87,28429.9700160049,2384020
GORONTALO,2020,2.765,68.68,104,3.785,55.35,28425.3754580975,2788826
GORONTALO,2021,2.895,69,105,3.21,53.73,29107.9108503026,2788826
GORONTALO,2022,2.945,69.81,99,2.915,45.12,30284.2863183847,2800580
INDONESIA,2016,1.84,70.18,135,5.555,57.47,,1997819
INDONESIA,2017,1.81,70.81,137,5.415,57.71,,2020500
INDONESIA,2018,1.67,71.39,138,5.2,61.84,,2268874
INDONESIA,2019,1.525,71.92,140,5.105,58.33,,2455662
INDONESIA,2020,1.68,71.94,141,6.005,63.95,,2672371
INDONESIA,2021,1.69,72.29,142,6.375,65.94,,2608093
INDONESIA,2022,1.575,72.91,146,5.845,66.13,,2644709
JAMBI,2016,1.445,69.62,69,4.33,60.5,130501.132093055,1906650
JAMBI,2017,1.135,69.99,70,3.77,58.27,136501.706065375,2063000
JAMBI,2018,1.28,70.65,71,3.645,66.06,142901.995806004,2243719
JAMBI,2019,1.2,71.26,72,3.79,56.87,149111.088358015,2423889
JAMBI,2020,1.14,71.29,71,4.695,63.66,148354.254898607,2630162
JAMBI,2021,1.19,71.63,72,4.925,64.51,153850.628537354,3230023
JAMBI,2022,1.18,72.14,74,4.645,65.85,161730.02364184,2649034
JAWA BARAT,2016,1.385,70.05,1339,8.73,55.03,1275619.24115641,2250000
JAWA BARAT,2017,1.42,70.69,1358,8.355,48.32,1343662.14183101,1420624
JAWA BARAT,2018,1.225,71.3,1376,8.225,61.04,1419624.14004369,1544361
JAWA BARAT,2019,1.075,72.03,1394,7.91,57.46,1490959.68710411,1668373
JAWA BARAT,2020,1.205,72.09,1365,9.085,63.56,1453380.72284117,1810351
JAWA BARAT,2021,1.38,72.45,1379,9.37,64.89,1507746.39013977,1810351
JAWA BARAT,2022,1.28,73.12,1334,8.33,67.05,1589984.92630833,1841487
JAWA TENGAH,2016,2.245,69.98,1037,4.415,44.59,849099.35469,910000
JAWA TENGAH,2017,2.165,70.52,1044,4.36,51.52,893750.29617,1367000
JAWA TENGAH,2018,1.74,71.12,1052,4.33,55.62,941091.14386,1486065
JAWA TENGAH,2019,1.48,71.73,1058,4.315,49.79,991516.54331,1605396
JAWA TENGAH,2020,1.78,71.87,1113,5.34,55.82,965227.26921,1742015
JAWA TENGAH,2021,1.925,72.16,1120,5.955,59.9,997321.13134,1798979
JAWA TENGAH,2022,1.76,72.79,1078,5.66,58.75,1050278.09192,1813011
JAWA TIMUR,2016,1.97,69.74,817,4.175,55.13,1405563.51102437,1000000
JAWA TIMUR,2017,1.98,70.27,822,4.05,59.9,1482299.57682786,1388000
JAWA TIMUR,2018,2.01,70.77,826,3.84,62.48,1563441.82456247,1508895
JAWA TIMUR,2019,1.705,71.5,831,3.795,57.74,1649895.64145665,1630059
JAWA TIMUR,2020,1.895,71.71,851,4.72,63.53,1611392.54676985,1768777
JAWA TIMUR,2021,1.71,72.14,855,5.455,66.33,1668754.35941068,1868777
JAWA TIMUR,2022,1.62,72.75,857,5.15,66.87,1757874.92986593,1891567
KALIMANTAN BARAT,2016,1.215,65.88,33,4.405,35.69,118183.272560654,1739400
KALIMANTAN BARAT,2017,1.125,66.26,33,4.29,42.7,124289.172158407,1882900
KALIMANTAN BARAT,2018,1.195,66.98,34,4.135,47.66,130596.320544351,2046900
KALIMANTAN BARAT,2019,1.08,67.65,34,4.205,49.29,137243.088154605,2211500
KALIMANTAN BARAT,2020,1.07,67.66,37,5.14,55.23,134743.381068097,2399699
KALIMANTAN BARAT,2021,1.025,67.9,37,5.775,54.27,141212.042893154,2399698
KALIMANTAN BARAT,2022,1.07,68.63,38,4.985,58.4,148368.939109347,2434328
KALIMANTAN SELATAN,2016,0.7,69.05,105,4.54,52.91,115743.572760465,2085050
KALIMANTAN SELATAN,2017,0.73,69.65,106,4.15,56.75,121858.523393238,2258000
KALIMANTAN SELATAN,2018,0.72,70.17,108,4.035,61.09,128052.577949392,2454671
KALIMANTAN SELATAN,2019,0.68,70.72,110,3.795,59.52,133283.851887731,2651782
KALIMANTAN SELATAN,2020,0.735,70.91,105,4.205,63.05,130864.31798024,2877449
KALIMANTAN SELATAN,2021,0.61,71.28,106,4.64,63.59,135424.591991804,2877448
KALIMANTAN SELATAN,2022,0.63,71.84,113,4.47,67.81,142341.223609549,2906473
KALIMANTAN TENGAH,2016,0.755,69.13,17,4.245,52.42,83900.2393678593,2057558
KALIMANTAN TENGAH,2017,0.84,69.79,17,3.68,56.48,89544.8982975454,2222986
KALIMANTAN TENGAH,2018,0.815,70.42,17,3.525,53.47,94566.2478905141,2421305
KALIMANTAN TENGAH,2019,0.73,70.91,18,3.625,50.01,100349.28502414,2663435
KALIMANTAN TENGAH,2020,0.84,71.05,17,3.955,60.77,98933.6136374738,2903145
KALIMANTAN TENGAH,2021,0.73,71.25,18,4.39,61.04,102481.474330423,2903144
KALIMANTAN TENGAH,2022,0.785,71.63,18,4.23,61.88,109094.720685362,2922516
